"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
County
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13073,"Columbia, GA",3940,3745,3967,4508,4771,5264,5029,6027,6531,7691,8252,9205,10017,11139,12283,13244,14463,15295,15416,16331,17562,20381,20926,22546,22901,23727,24441,25338,26531,28157,29428,30562,30610,31092,32716,33881,35039,36868,37977,39877,39823,40621,42649,43231,43184,44985,46590,47805,48882,50485,52531,55657,58551,59114,61147
13075,"Cook, GA",2523,2723,3023,3257,3600,4167,4143,4405,4484,5296,5740,5824,6616,7056,7526,8554,8767,9519,10313,10908,11431,11904,12432,13252,13507,14607,15898,16249,16830,17343,18110,18737,19357,20141,21160,21858,22896,23530,24597,25203,25876,26365,27314,27746,27944,27868,29642,29859,30886,32293,33363,36336,39746,39357,40392
13077,"Coweta, GA",3045,3224,3457,4035,4570,4723,5003,5565,6237,6915,7712,8391,9187,9761,10854,11921,12712,13723,14386,15370,16329,16944,17254,18241,19072,19996,21151,22423,23371,24641,25878,27240,27670,27892,28768,29644,30857,32138,34504,36062,35077,33599,35868,37429,38629,40420,42160,44261,46039,48286,50329,53620,57523,59223,62396
13079,"Crawford, GA",2577,2630,2949,3296,3807,4043,4424,4854,5368,6105,6923,7710,8841,9599,10142,10601,10972,11306,11518,12180,12817,13039,13404,14188,14849,15339,16117,16386,17264,18407,19779,20904,20347,22043,23114,23630,24686,25486,27257,28898,28786,28726,29899,28473,28897,29987,31826,31998,33713,34227,34749,36813,40611,40842,40651
13081,"Crisp, GA",2328,2623,2956,3160,3706,3932,4151,4629,4903,5503,5898,6247,7164,7327,7715,8957,9549,10407,11176,12260,12949,13484,13986,14979,15655,16779,17845,18086,18529,19016,19883,20193,20280,20908,21549,21921,22699,22858,22993,23230,23108,23973,26226,26363,27154,28231,30135,31259,33387,34593,37185,41930,46242,46153,48309
13083,"Dade, GA",2406,2555,2713,3074,3332,3627,4015,4468,4954,5671,6056,6515,7225,7444,7995,8830,9343,9854,10549,11249,11454,12094,12754,13331,14207,14761,15805,16560,18124,19227,20224,21477,21883,22189,22677,22861,23868,24473,24682,25611,25114,25842,26658,27902,28553,29652,31749,31583,33366,35276,35078,37786,41069,42382,43769
13085,"Dawson, GA",2999,2663,2623,3312,4160,4161,5183,5181,5327,6105,6636,7225,7855,8184,9150,10921,11533,12877,13446,14023,14924,15070,15803,17087,18417,19911,20543,22353,23256,24552,26154,27140,28396,28771,29085,30616,31760,32510,32787,32989,31860,32218,33969,34523,35466,37262,39812,42619,43923,45817,48500,50853,57601,60181,63599
13087,"Decatur, GA",2103,2379,2606,2946,3498,3821,4149,4626,4823,5597,6087,6317,7801,7804,8611,9535,9704,10440,11182,12178,13092,13898,14671,15137,15559,16897,18027,18467,18961,19766,20612,21217,22242,22989,23809,23981,25948,26116,27439,28647,29007,29301,31097,30666,30209,29467,30553,30987,31223,32719,33824,37424,42214,43054,44657
13089,"DeKalb, GA",4282,4800,5065,5456,6048,6407,6776,7352,7988,8784,9741,10775,11971,12707,13741,15250,16512,17469,18291,19412,20363,21353,21361,22104,22721,23625,24662,26187,27010,29026,30247,32583,32373,32559,33383,34095,35164,36292,37189,37430,36441,37059,39504,39112,39345,41601,44106,45251,48699,51261,52591,56200,62228,64669,67811
13091,"Dodge, GA",2401,2771,3076,3315,3825,4015,4266,4675,4974,5409,6380,6573,7906,8379,8628,9265,9242,9481,10115,10839,11666,12273,12845,13685,13967,15206,15934,16352,16680,17608,18330,19098,19646,20481,21023,21349,22281,23093,24409,24649,24379,25059,26499,26357,26405,27121,27901,28639,30016,30689,31842,34535,37957,36395,38758
13093,"Dooly, GA",2382,2881,3448,3401,4782,4118,3677,4444,4488,5145,5547,5174,6669,7488,7298,9112,9242,9400,11048,11580,12242,12526,14183,14853,14523,16370,16504,18256,17458,17979,18732,19567,19670,19103,20068,19195,20032,19075,19117,20984,20605,19780,22517,23878,24226,24299,27595,30576,33059,33906,37944,40540,44576,45682,43325
13095,"Dougherty, GA",2756,3175,3485,3817,4299,4582,4808,5251,5694,6470,7095,7902,8630,9120,9746,10650,11220,11776,12182,13145,14305,15380,15954,16301,16937,18019,19069,20001,20508,21282,21989,22732,22996,24267,25355,25677,26038,26442,27135,27880,28390,29572,31202,30722,30527,31690,32485,33056,33691,34395,36369,40991,46311,45927,47803
13097,"Douglas, GA",3319,3349,3702,4284,4322,4538,4890,5325,5896,6617,7531,8772,9521,9980,10757,11884,12801,13639,14315,15059,15568,16344,16658,17585,18557,19618,20890,21927,22953,23835,24994,26789,26855,27248,27632,28136,28883,29402,30143,30376,29540,29134,30503,30864,30983,32020,32999,33833,34736,35959,37223,40879,43879,43755,45636
13099,"Early, GA",2094,2402,2580,2636,3408,3703,3712,4155,4431,5051,5534,5717,7129,7393,7773,9475,9537,10316,10810,11897,12768,13654,14719,15394,15545,17309,18097,18887,19452,19686,20332,21053,22634,23147,24521,24869,26122,27069,28004,29206,29093,30103,32351,33614,31888,31205,32529,33208,33353,33892,37181,40366,44303,43928,44161
13101,"Echols, GA",2262,2380,2660,2907,3540,3817,3613,3929,3938,4452,5050,5816,6725,7790,7984,8943,8975,9544,10316,10698,11979,12454,12798,13685,13768,14918,15805,15480,17005,17101,17356,18089,18056,18686,18688,18300,19399,19458,19898,20553,20682,20120,21762,23475,24470,25139,26405,25959,28432,29725,29610,33343,35156,33357,34289
13103,"Effingham, GA",2782,2926,3126,3516,3893,4339,4634,5249,5668,6586,6882,7247,8585,9180,9464,10177,10743,11554,13034,13555,14291,14820,15164,16589,17406,18216,18880,19865,20402,21615,21702,22918,23630,24224,25393,27298,29098,30104,32150,33264,32512,32819,34146,35163,35522,36839,38075,38941,40735,42040,42118,44881,48317,48805,50587
13105,"Elbert, GA",2732,2857,3095,3338,3706,4064,4485,5201,5365,5943,6775,7397,7987,8460,9097,9901,10456,10927,11414,12322,13425,13985,14528,15154,15516,16224,17334,17696,18706,19644,20349,21287,21793,22079,22539,23441,24296,24482,26152,27065,27447,27150,27835,29304,29829,31055,32094,32769,34344,35019,35134,38755,41802,43130,44067
13107,"Emanuel, GA",2114,2372,2639,2836,3268,3450,3566,3913,4303,4677,5832,5726,6598,7267,7644,8365,8878,9468,10127,10926,11902,12512,13220,13687,13899,15114,15959,16918,17399,18241,18682,19606,19842,20695,21654,22348,22759,23451,24113,24851,25332,25949,27774,27242,28047,28328,29250,29650,31610,31399,33199,37908,41399,39618,41102
