GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B69AA105,B69AB105,B69AC105,B69AA105M,B69AB105M,B69AC105M
"G1303030","2006-2010","Georgia","13","130","Washington County","303","3030","Washington County",1309,11240,1497,198,544,201
"G1303050","2006-2010","Georgia","13","130","Wayne County","305","3050","Wayne County",1371,16188,2151,262,724,313
"G1303070","2006-2010","Georgia","13","130","Webster County","307","3070","Webster County",146,1578,147,144,223,236
"G1303090","2006-2010","Georgia","13","130","Wheeler County","309","3090","Wheeler County",572,4131,442,172,537,293
"G1303110","2006-2010","Georgia","13","130","White County","311","3110","White County",955,13947,3624,212,841,465
"G1303130","2006-2010","Georgia","13","130","Whitfield County","313","3130","Whitfield County",9877,42489,9323,774,1464,621
"G1303150","2006-2010","Georgia","13","130","Wilcox County","315","3150","Wilcox County",537,5285,564,131,389,232
"G1303170","2006-2010","Georgia","13","130","Wilkes County","317","3170","Wilkes County",851,5431,1153,199,428,253
"G1303190","2006-2010","Georgia","13","130","Wilkinson County","319","3190","Wilkinson County",566,5088,778,112,318,146
"G1303210","2006-2010","Georgia","13","130","Worth County","321","3210","Worth County",1191,11642,1337,200,680,239
